qid,question,category,generated_answer,num_new_tokens,mean_logprob,min_logprob,mean_entropy,correct_sim,incorrect_sim,label,llm_calls
sciq_0000,What term means the set of processes by which metals are extracted from their ores and converted to more useful forms?,science,The term that describes this process is metallurgy.,10,-0.29751173057593405,-0.6527019739151001,0.7471188608556986,0.25,0.0,0,1
sciq_0001,What do charged particles in motion generate?,science,Charged particles in motion generate electromagnetic fields.,9,-0.1640537918477397,-0.615268349647522,0.4221230665829757,0.22222222222222224,0.22222222222222224,1,1
sciq_0002,"During a human pregnancy, which trimester exhibits the greatest growth of the fetus and culminates in labor and delivery?",science,The third trimester exhibits the greatest growth of the fetus and culminates in labor and delivery.,20,-0.07901061005022711,-0.5309075117111206,0.23601799724383454,0.2666666666666667,0.13333333333333336,0,1
sciq_0003,What is part of a large fungus that lives underground?,science,Hyphae are part of a large fungus that lives underground.,13,-0.22923032879995076,-1.1685094833374023,0.5313335986485561,0.0,0.0,1,1
sciq_0004,The interaction between atomic orbitals is greatest when they have the same what?,science,The interaction between atomic orbitals is greatest when they have the same orientation.,15,-0.11579872233727807,-0.5881920456886292,0.36964374347323126,0.0,0.0,1,1
sciq_0005,What is the general name for a group of atoms derived from an alkane?,science,A general name for a group of atoms derived from an alkane is an alkyl group.,19,-0.0559055700447827,-0.3176511824131012,0.21162038450251872,0.2857142857142857,0.14285714285714285,0,1
sciq_0006,What is one thing that cell membranes are permeable to?,science,One thing that cell membranes are permeable to is small molecules like water and oxygen.,17,-0.19212744132325016,-0.8336162567138672,0.5165448946251726,0.0,0.0,1,1
sciq_0007,What evolutionary process has adapted protonephridia to different tasks in different environments?,science,The evolution of protonephridia allowed for specialization in different organisms by adapting their functions based on environmental needs.,23,-0.5820868630840066,-1.6453542709350586,1.4062209140551125,0.0,0.0,1,1
sciq_0008,Melting ice is drastically impacting the number of what at glacier national park?,science,Melting ice is dramatically altering the ecosystem by affecting plant growth and animal habitats within Glacier National Park.,20,-0.5689580785732687,-1.5250792503356934,1.1791665966778964,0.0,0.0,1,1
sciq_0009,Where do mushrooms get their energy?,science,Mushrooms obtain their energy from organic matter through decomposition of dead plant material.,16,-0.5119731474233049,-1.4117352962493896,1.029275684748427,0.125,0.125,1,1
sciq_0010,Which part of the atmosphere do greenhouse gasses trap heat in?,science,"Greenhouse gases trap heat in the lower portion of the atmosphere, specifically between the Earth's surface and about 20 kilometers above it.",28,-0.2540058864927102,-0.9176311492919922,0.5972045895344179,0.0,0.0,1,1
sciq_0011,The lens and other parts of the eye work together to focus a real image on what eye structure?,science,The lens and other parts of the eye work together to focus a real image on the retina.,19,-0.0669668924438156,-0.585691511631012,0.20794158005293484,0.13333333333333333,0.0,0,1
sciq_0012,Reacting with metal is one thing that distinguishes acids from what?,science,Acids react with metals to release hydrogen gas.,10,-0.3450993287202436,-0.9347075819969177,0.7417529567610472,0.0,0.2222222222222222,1,1
sciq_0013,What takes place where septa is found?,science,"Septa take place within cells, specifically in the cytoplasm.",14,-0.7794899492120878,-1.5776808261871338,1.7447226386032395,0.16666666666666666,0.16666666666666666,1,1
sciq_0014,What branch of science explains much of what you observe and do in your daily life?,science,Physics explains much of what you observe and do in your daily life.,14,-0.15708741034593135,-0.6197775602340698,0.4281039419833438,0.0,0.0,1,1
sciq_0015,What theory states that there is no interaction between individual gas particles?,science,The theory that states there is no interaction between individual gas particles is known as the kinetic molecular theory.,20,-0.26340844686747006,-1.031855583190918,0.7286947003856767,0.21052631578947367,0.10526315789473684,0,1
